Values,Definition & Questions,Saboteur, Con-Artist,Disciplined,Mercenary,Engaged,Enterpreneur
Responsibility,Definition,Exhibits systematic lateness,Attempts to avoid work in a structured manner,Exhibits a professional and fair-relationship,"Demonstrates responsibility within the confines of personal gain, aligning actions with personal objectives rather than a genuine commitment to overall organizational responsibilities.",Demonstrates responsibility within their department but may benefit from a broader perspective to ensure alignment with overall organizational responsibilities and goals.,Acts as the owner
,,Intentionally tries to avoid work by abusing sick leaves and other leave policies,Works the system/forges reports and/or timesheets,Fulfills assigned tasks and responsibilities as instructed but may lack proactive ownership and initiative in taking on additional responsibilities.,Performs non-work related activities during working hours,,Demonstrates exceptional work ethics
,,,,,,,"Takes ownership and responsibility for tasks, aligning actions with organizational goals and demonstrating a proactive commitment to overall responsibilities."
,The employee hasn't been involved in escalations against the integrity of our company/customers,Strongly Disagree/ Disagree,Neutral/Disagree,Neutral/Disagree/Agree,Neutral/Disagree,Strongly Agree,Strongly Agree
,,,,,,,
,,"Their actions involve sabotaging processes and disrupting workflows, which can escalate against the integrity of the company.","They are skilled in presenting a positive facade, and direct involvement in escalations might contradict their agenda of personal gain.","Neutral or agree/disagree, depending on their level of awareness or involvement in the escalation. Their focus on tasks as instructed may lead to a neutral or agree response.","While primarily focused on personal goals, might participate in escalations against the integrity of the company",Their commitment to the success of the department and the organization as a whole would likely deter them from participating in activities that escalate against integrity.,"They are driven by organizational goals, and involvement in activities harming the company's integrity would contradict their values."
,"The employee follows the process, methodology, and policies with security and ethicality in mind",Strongly Disagree / Disagree,Neutral/Agree,Strongly Agree,Neutral/Disagree,Neutral/Agree/Strongly Agree,Agree / Strongly Agree
,,,,,,,
,,"Likely to be perceived as not following processes and policies with security and ethicality in mind, given their inclination to disrupt workflows and potentially compromise security.","May be perceived as not genuinely following processes, methodologies, and policies with security and ethicality in mind, especially if their actions involve deceitful practices.","They follow processes, methodologies, and policies with security and ethicality in mind. Their commitment to tasks as instructed aligns with a disciplined adherence to established guidelines.",Their commitment to process only happens when the end result is their personal gain,"Their commitment to the success of the department and the organization would involve adhering to established guidelines. However, due to their focus on getting the work done, they might try to bypass processes in an attempt to deliver projects on time.",Actively follow processes with a strong emphasis on security and ethicality. Their alignment with organizational goals includes a commitment to ethical practices and security measures.
,The employee prioritizes well and works according to plan,Strongly Disagree / Disagree,Neutral/Disagree,Neutral/Agree,Neutral/Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"They tend to not prioritize well and work according to a plan, given their inclination to  potentially deviate from organized plans.","They do not genuinely prioritize well or work according to a plan, especially because their actions involve manipulating plans for personal gain.",Their commitment to tasks as instructed aligns with a disciplined approach to planning and organization.,Their focus on personal gain might compromise the ability to prioritize and work according to a plan.,"Prioritize well and work according to department's plan, as their commitment to the success of the department and the organization involves organized and goal-oriented work.",Actively prioritize well and work according to the organizational plan. Their alignment with goals includes a strategic approach to planning for success.
,The employee hasn't been observed slacking or working on side jobs during working hours,Strongly Disagree,Strongly Disagree/Disagree,Agree/Strongly Agree,Disagree/Strongly Disagree,Agree/Strongly Agree,Strongly Agree
,,,,,,,
,,"Engage in behaviors that involve slacking or potentially working on side jobs during working hours, reflecting a lack of commitment to their primary responsibilities.","Potentially engage in side activities during working hours, especially if these activities contribute to their personal gain rather than the organization's goals.",Their commitment is to work on tasks as instructed aligned with a disciplined and focused work approach.,Their primary goal is to earn more money so they are easily spotted using working hours to conduct their side jobs ,Their commitment to the success of the department and the organization involves dedicated and focused work.,Their alignment with organizational goals includes a commitment to effective and purposeful work.
,The employee delivers quality work on time,Strongly Disagree/Disagree,Disagree/Neutral,Agree/Strongly Agree,Neutral/Agree,Agree/Stronly Agree,Strongly Agree
,,,,,,,
